,timestamp_diff,positive,negative
0,0,-0.052866952737682264,0.32502493909305813
1,3,0.0480261202185792,-0.1520755464480874
2,3,0.11442808352875208,0.07489194224369296
3,15,-0.06055555555555556,0.0
4,15,-0.06055555555555556,0.0
5,15,-0.06055555555555556,0.0
6,25,0.05806718647773929,-0.3409570385240539
7,28,0.15932523046990368,0.5834903805245438
8,31,-0.004992043600665126,0.02210893591695327
9,34,0.0033833038021409915,0.27203828571428573
10,34,0.1046409274314965,0.5438443551942186
11,35,0.12114129270256467,0.10473333333333333
12,35,0.12440713312426828,-0.11787146666666666
13,35,0.21467094774790424,0.06407605510045507
14,36,0.09824627532172284,-0.13959385439045188
15,36,-0.06747702496602624,0.4977476954246824
16,37,0.423979271271123,-0.26339952719472726
17,37,0.112,0.108
18,38,0.12604431399010343,0.18315606558704453
19,42,-0.030373103079439683,0.5124545696888565
20,47,-0.1452081798245614,0.17187676666666665
21,47,0.013563492063492048,0.0
22,49,0.2521938264674297,-0.3559836771659777
23,49,0.2544109568515583,-0.13220137518127786
24,50,0.03673362193362192,-0.057885999999999965
25,50,-0.083296087302052,0.3206194352143598
26,51,0.1209121348104593,0.6859944625279392
27,51,0.2719365421245421,-0.425226419047619
28,55,0.23651625,-0.45952231666666665
29,57,0.054144862418808976,0.23554784742892287
30,57,0.6009145044093008,-0.2528378136137021
31,58,0.015937305658772865,0.06810197226135234
32,59,0.10221146723646721,-0.18733589743589743
33,59,0.2580917329133942,-0.3867738683479813
34,61,0.012365120163125572,0.11820666813820628
35,61,0.185700765993266,0.6547787606060606
36,61,-0.03535119658119658,0.3252500358974359
37,61,-0.04338518518518519,0.0
38,62,0.13789871794871797,-0.22260480000000002
39,63,0.3159364872910244,-0.49396861052631574
40,65,0.23432815025554188,0.15306134409121996
41,65,0.22565986981799174,0.15133980031253758
42,66,-0.01522764745283747,0.6119886821950137
43,67,0.3413342152820594,0.7962912652498932
44,67,0.22345085308871018,-0.30967249478458053
45,68,0.031986887130678786,0.33824204148614484
46,68,0.17290315221815222,0.06881764444444437
47,68,0.08660820987654316,0.278043992022792
48,69,0.250477105141638,0.07133021243960877
49,69,0.15851746907954856,0.3012286407109976
50,69,0.20574497296025712,-0.08767241742241862
51,69,0.04535624827055948,0.18339871008663958
52,69,0.47958380265839484,0.19038002910212004
53,69,0.5411440472864322,-0.3213608907550249
