,timestamp_diff,positive,negative
0,0,-0.06055555555555556,0.0
1,0,-0.06055555555555556,0.0
2,0,-0.009336257309941524,0.020596491228070165
3,0,-0.049435123456790145,0.08717501975308639
4,0,-0.06055555555555556,0.0
5,1,-0.06055555555555556,0.0
6,1,0.10516542376871642,0.26078817655146436
7,1,0.14125462962962965,-0.2867944
8,10,0.5616495473251027,-0.4622412
9,11,-0.0012402020202020195,-0.041717921212121194
10,11,0.3174666666666667,0.0364
11,22,0.19168510990665463,-0.4461635985546522
12,27,0.13658333333333333,-0.26898226666666664
13,27,0.12010128083491457,-0.48073273118279575
14,29,0.35854406534011796,-0.29216229265588217
15,30,0.5736911782071928,-0.4732994
16,31,0.09979109977324262,-0.39078999999999997
17,31,-0.1509068100358423,0.0181290322580645
18,31,0.010990740740740731,-0.4950428
19,54,0.00631166666666666,0.16538941904761903
20,67,0.3173121549325923,-0.20249730240396002
