filename,nwords,negative_adjectives_component,social_order_component,action_component,positive_adjectives_component,joy_component,affect_friends_and_family_component,fear_and_digust_component,politeness_component,polarity_nouns_component,polarity_verbs_component,virtue_adverbs_component,positive_nouns_component,respect_component,trust_verbs_component,failure_component,well_being_component,economy_component,certainty_component,positive_verbs_component,objects_component
2019-09-03_01_35_58.txt, 1, 0.0,0.0,0.0,-0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-05_19_03_02.txt, 7, 0.0,0.0,0.0,-0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-08_20_38_27.txt, 19, 0.061789473684210526,0.3843333333333333,1.1992280701754385,-0.4755789473684211,0.0,0.02563157894736842,0.0,0.0,0.2428954,0.44593360000000004,0.0,0.0,0.3915526315789474,0.0,0.0,0.0,0.0,0.03431578947368421,0.0,0.21204385964912278
2019-09-16_23_51_34.txt, 30, 0.18624505925925924,0.9959925925925925,0.6296703703703703,-0.48134203703703715,0.01725925925925926,0.0,0.07528,0.019166666666666665,0.4553941333333334,0.21695,0.0,0.0,0.0,0.0,0.0,0.0,0.021185185185185182,0.01883333333333333,0.0,0.10406666666666667
2019-09-30_14_52_57.txt, 18, 0.0,0.0,0.0,-0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-16_15_54_36.txt, 11, 0.0,0.0,0.0,-0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-18_15_34_41.txt, 41, 0.5482284292682927,0.5931821263772483,0.3827992277992278,-0.3130689189189189,1.5814086486486483,0.5233294144144144,0.07658783783783785,0.060365853658536583,0.24373413333333332,0.11299199999999998,0.0,-0.8741707317073171,0.0,0.40109115735945006,0.15754826254826254,0.09086280487804878,0.43,0.10258048780487805,0.0,0.11135015655899802
2019-10-19_05_14_52.txt, 24, -0.8603832,0.10583333333333333,0.31440833333333335,-0.07676666666666665,0.05866666666666666,0.4231825,0.0,0.0,0.226566,1.3458245,0.0,0.0,0.0,0.37235000000000007,0.0,0.0,0.0,0.0,0.9170416666666666,0.0
2020-07-22_05_26_22.txt, 27, -1.4355236,0.07148148148148148,0.11125,0.8632666666666665,4.118023703703703,0.16905555555555554,0.048799999999999996,0.0,0.431446,-0.244991,0.0,0.0,0.0,0.07355555555555554,0.0,0.0,0.0,0.020925925925925924,0.0,0.0
2020-08-21_13_02_14.txt, 22, -0.33106285454545453,0.17545454545454547,1.2551090909090907,-0.11775272727272729,0.02140909090909091,0.4359672727272727,0.2059090909090909,0.0,-0.005521833333333337,-0.049453666666666715,0.0,0.8891363636363636,0.0,0.06804545454545455,0.0,0.0,0.0,0.081,-0.872,0.0
2020-08-21_19_36_35.txt, 10, 0.10920000000000002,0.13060000000000002,0.0,-0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.11299999999999999,0.0,0.0
2021-07-10_23_22_04.txt, 41, -1.3683688444444444,0.08409756097560978,0.2390691056910569,0.5888651761517616,0.8129159891598916,0.4133892863595302,0.029878048780487804,0.05060975609756098,2.1028443174603177,0.0,0.0,0.0,0.10921409214092143,0.1453170731707317,0.0,0.01824390243902439,0.5961246612466125,0.07831707317073171,0.0,0.044048780487804876
2021-12-14_11_28_43.txt, 16, -0.8069468,0.059687500000000004,0.11125,-0.1515625,0.0294375,0.38700874999999996,0.0,0.0,0.381524,2.3233110000000003,0.0,0.0,0.0,0.4188125,0.0,0.0,0.0,0.0,0.9325625,0.0
2021-12-19_02_40_08.txt, 31, -1.4421981935483872,0.02864516129032258,1.1150564516129031,0.16897983870967737,0.04558064516129032,0.40139590132827324,0.0,0.024193548387096774,1.6551659294117647,1.9547750000000002,0.0,0.0,0.16212523719165084,0.6299032258064516,0.0,0.05012903225806452,1.2969516129032257,0.04267741935483871,0.0,0.11407020872865274
2022-02-12_14_10_38.txt, 70, -0.9523800199134199,0.2864004329004329,0.563056277056277,0.6553961688311688,1.7180929004329002,0.3641067008430166,0.04178787878787879,0.010714285714285714,0.6372285526315788,1.23512225,0.1512,0.0,0.14652570061517428,0.48458181818181817,0.034105263157894736,0.04274285714285714,0.415,0.1398285714285714,0.017642857142857148,0.0344
2022-03-12_14_23_17.txt, 27, -1.4198982,0.12732850241545893,0.2773804347826087,0.4744613446054752,3.7352391304347825,0.07292592592592592,0.0,0.0,0.2944133333333333,1.310458,0.0,0.0,0.0,0.03992753623188405,0.0,0.0,0.0,0.1462962962962963,0.9135925925925926,0.0
2022-04-03_19_34_34.txt, 70, -1.18987,0.14525194805194805,0.4634064935064936,-0.13592500000000007,0.8029428571428571,0.20236526530612242,0.0175,0.008214285714285714,1.8008739102040814,0.32865099999999997,0.1154,0.0,0.06165918367346939,0.03514285714285714,0.0,0.010685714285714284,0.024514285714285714,0.053385714285714286,0.0,0.15275918367346936
2022-04-11_11_12_38.txt, 31, 0.05438709677419355,0.2186774193548387,0.6871612903225806,-0.5232580645161291,0.0,0.10544838709677419,0.0,0.037096774193548385,0.044435666666666665,0.47103833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182258064516129,-0.872,0.07689486260454001
