,timestamp_diff,timestamp,positive,negative
0,0,2020-03-10 15:24:20,-0.052866952737682264,0.32502493909305813
1,3,2020-06-23 16:35:55,0.0480261202185792,-0.1520755464480874
2,3,2020-06-23 22:05:27,0.11442808352875208,0.07489194224369296
3,13,2021-04-30 16:13:02,0.37611203118137904,-0.3486374566116653
4,13,2021-04-30 19:10:27,0.35387172063441297,-0.3723012879821496
5,15,2021-06-21 18:37:57,-0.06055555555555556,0.0
6,15,2021-06-21 18:47:22,-0.06055555555555556,0.0
7,15,2021-06-21 18:58:12,-0.06055555555555556,0.0
8,23,2022-02-03 09:27:38,0.08134996318050146,-0.05500223687701194
9,23,2022-02-09 23:12:49,0.20487963742271462,-0.4192349294510898
10,25,2022-04-09 00:02:00,0.05806718647773929,-0.3409570385240539
11,25,2022-04-23 16:06:26,0.12149598765432097,-0.4574190502923976
12,26,2022-04-30 15:33:58,-0.05397008547008548,0.03704524886877827
13,26,2022-05-06 22:10:42,0.15130705000313693,0.3092610840579709
14,26,2022-05-11 14:31:57,-0.00041149637442322584,0.08401823682707094
15,27,2022-06-20 15:59:50,0.040727673930006106,-0.00012249689734853317
16,28,2022-07-25 13:10:13,0.15932523046990368,0.5834903805245438
17,31,2022-10-11 14:39:28,0.2939880717620926,-0.21316348538011706
18,31,2022-10-17 14:52:05,0.3801696133010923,-0.39458580036804586
19,31,2022-10-19 17:34:50,-0.004992043600665126,0.02210893591695327
20,32,2022-11-07 14:47:03,0.24578196196905924,-0.46322225951969404
21,32,2022-11-22 16:53:02,0.17300637568435265,0.255146319262418
22,34,2023-01-20 04:51:51,0.0033833038021409915,0.27203828571428573
23,34,2023-01-22 04:53:37,0.1046409274314965,0.5438443551942186
24,35,2023-01-26 15:00:30,0.12114129270256467,0.10473333333333333
25,35,2023-01-27 04:58:06,0.12440713312426828,-0.11787146666666666
26,35,2023-01-28 01:01:58,0.21467094774790424,0.06407605510045507
27,36,2023-03-03 23:35:42,0.09824627532172284,-0.13959385439045188
28,36,2023-03-21 11:11:50,-0.06747702496602624,0.4977476954246824
29,37,2023-04-05 11:04:50,0.423979271271123,-0.26339952719472726
30,37,2023-04-06 18:58:49,0.112,0.108
31,37,2023-04-11 19:12:34,0.11635868584913017,-0.25386540883534137
32,38,2023-05-23 12:24:24,0.12604431399010343,0.18315606558704453
33,41,2023-08-16 14:57:47,0.21059767092966059,0.45397008010851264
34,42,2023-09-13 13:25:52,-0.030373103079439683,0.5124545696888565
35,43,2023-09-21 17:11:21,0.059021366317251266,-0.28659415324844584
36,43,2023-09-28 14:59:50,-0.02853172057819457,0.20165993490106215
37,43,2023-10-04 13:23:09,0.455139623000709,-0.1905284362419375
38,44,2023-11-19 15:32:27,0.18875001498657326,-0.3127814602960735
39,46,2023-12-23 13:48:55,0.0664804891473965,0.8234049724677232
40,46,2024-01-08 23:17:18,0.05474249925884645,0.7629206278605706
41,47,2024-01-25 21:11:14,-0.1452081798245614,0.17187676666666665
42,47,2024-01-30 19:44:20,0.013563492063492048,0.0
43,49,2024-04-01 17:25:48,0.2521938264674297,-0.3559836771659777
44,49,2024-04-04 13:33:50,0.2544109568515583,-0.13220137518127786
45,50,2024-04-22 18:07:04,0.14461862745098045,-0.35270344313725505
46,50,2024-04-24 14:10:43,0.029552282282282277,0.1059034571032571
47,50,2024-04-27 04:21:24,0.03673362193362192,-0.057885999999999965
48,50,2024-04-30 12:08:32,-0.083296087302052,0.3206194352143598
49,50,2024-05-02 14:27:41,0.214906829840464,-0.16437539166856532
50,51,2024-05-22 14:17:09,-0.04068433594023508,0.33148822008047957
51,51,2024-05-23 14:37:05,0.1209121348104593,0.6859944625279392
52,51,2024-05-24 04:03:47,0.2719365421245421,-0.425226419047619
53,51,2024-06-05 16:26:32,0.15817033594608884,0.420704858796028
54,51,2024-06-10 14:21:33,0.044911310644149834,-0.2617182735704909
55,53,2024-07-28 05:33:14,0.10135150700553924,-0.19396291300097757
56,54,2024-08-22 02:05:56,0.16259980746049843,-0.00308096893521236
57,54,2024-09-05 22:00:27,0.4110213154257407,-0.42971131851851857
58,55,2024-10-08 16:38:36,0.23651625,-0.45952231666666665
59,56,2024-10-16 22:00:25,0.42855940227397127,-0.2543337237796686
60,57,2024-11-26 15:53:24,0.054144862418808976,0.23554784742892287
61,57,2024-12-08 10:36:14,0.6009145044093008,-0.2528378136137021
62,58,2024-12-20 15:13:51,0.015937305658772865,0.06810197226135234
63,59,2025-01-23 01:39:45,0.10221146723646721,-0.18733589743589743
64,59,2025-01-30 15:19:09,0.2580917329133942,-0.3867738683479813
65,59,2025-02-04 21:26:14,-0.061730449735449784,0.2663298004070003
66,61,2025-04-09 01:56:03,0.012365120163125572,0.11820666813820628
67,61,2025-04-09 10:49:12,0.185700765993266,0.6547787606060606
68,61,2025-04-09 10:50:40,-0.03535119658119658,0.3252500358974359
69,61,2025-04-09 10:52:15,-0.04338518518518519,0.0
70,61,2025-04-13 06:28:28,0.11218997511433952,-0.4388205084745764
71,62,2025-04-14 11:17:10,0.13789871794871797,-0.22260480000000002
72,62,2025-04-14 12:51:44,0.3508183939852607,-0.39545494174101314
73,63,2025-06-03 00:57:09,0.22482727668845312,0.005585426975638702
74,63,2025-06-05 17:26:55,0.3159364872910244,-0.49396861052631574
75,65,2025-07-29 18:11:43,0.23432815025554188,0.15306134409121996
76,65,2025-07-29 21:51:18,0.22565986981799174,0.15133980031253758
77,65,2025-07-29 23:34:44,0.04771009555302813,0.5308848445326777
78,65,2025-07-30 11:28:55,0.06464388683580155,-0.06254325023595714
